iso3,country,region,hdicode,hdi_rank_2021,hdi_2021,le_2021,eys_2021,mys_2021,gnipc_2021,gdi_2021,gii_2021,ihdi_2021,loss_2021,phdi_2021,co2_prod_2021
AFG,Afghanistan,SA,Low,180.0,0.478,61.9824,10.26384398,2.98506999,1824.190915,0.681,0.678,,,0.474,0.312376488
AGO,Angola,SSA,Medium,148.0,0.586,61.6434,12.1721,5.417390823,5465.617791,0.903,0.537,0.407,30.54607509,0.577,0.675409733
ALB,Albania,ECA,High,67.0,0.796,76.4626,14.44799995,11.28645502,14131.11039,1.007,0.144,0.71,10.8040201,0.739,1.575753953
AND,Andorra,,Very High,40.0,0.858,80.3684,13.30023874,10.55511952,51166.62661,,,,,,6.034944671
ARE,United Arab Emirates,AS,Very High,26.0,0.911,78.7104,15.71769047,12.69402981,62573.59181,0.953,0.049,,,0.518,15.19333592
ARG,Argentina,LAC,Very High,47.0,0.842,75.3899,17.8748703,11.14726927,20925.26814,0.997,0.287,0.72,14.48931116,0.759,3.473291552
ARM,Armenia,ECA,High,85.0,0.759,72.0431,13.11676025,11.33030033,13157.9939,1.001,0.216,0.688,9.354413702,0.727,1.987788379
ATG,Antigua and Barbuda,LAC,High,71.0,0.788,78.4968,14.18462641,9.293740746,16792.36595,,,,,,4.395122997
AUS,Australia,,Very High,5.0,0.951,84.5265,21.05459023,12.72681999,49238.43335,0.968,0.073,0.876,7.886435331,0.637,15.36837971
AUT,Austria,,Very High,25.0,0.916,81.5797,16.00795937,12.25669003,53618.67138,0.98,0.053,0.851,7.096069869,0.766,6.732425105
AZE,Azerbaijan,ECA,High,91.0,0.745,69.3658,13.49689007,10.5429697,14256.74456,0.974,0.294,0.685,8.053691275,0.688,3.720272365
BDI,Burundi,SSA,Low,187.0,0.426,61.6627,10.72272189,3.129266883,731.7867086,0.935,0.505,0.302,29.10798122,0.422,0.050642582
BEL,Belgium,,Very High,13.0,0.937,81.8787,19.60421944,12.37567997,52293.39977,0.978,0.048,0.874,6.723585912,0.742,7.226205719
BEN,Benin,SSA,Low,166.0,0.525,59.821,10.76667976,4.304786445,3408.965923,0.88,0.602,0.334,36.38095238,0.515,0.552890326
BFA,Burkina Faso,SSA,Low,184.0,0.449,59.2696,9.142100334,2.114962259,2117.915916,0.903,0.621,0.315,29.844098,0.442,0.189903275
BGD,Bangladesh,SA,Medium,129.0,0.661,72.3811,12.44198036,7.379059792,5472.104781,0.898,0.53,0.503,23.903177,0.649,0.563737615
BGR,Bulgaria,,High,68.0,0.795,71.798,13.89729023,11.41318035,23078.95595,0.995,0.21,0.701,11.82389937,0.708,5.388845994
BHR,Bahrain,AS,Very High,35.0,0.875,78.7605,16.29755974,11.04658985,39497.24788,0.927,0.181,,,0.647,20.54572969
BHS,Bahamas,LAC,Very High,55.0,0.812,71.5983,12.89945,12.64192386,30486.18429,,0.329,,,0.634,5.944655227
BIH,Bosnia and Herzegovina,ECA,High,74.0,0.78,75.3003,13.8,10.53631973,15241.91465,0.94,0.136,0.677,13.20512821,0.691,6.528247977
BLR,Belarus,ECA,Very High,60.0,0.808,72.438,15.16996956,12.14358044,18848.96704,1.011,0.104,0.765,5.321782178,0.751,6.07931383
BLZ,Belize,LAC,Medium,123.0,0.683,70.4697,12.99168968,8.847599983,6309.099778,0.975,0.364,0.535,21.66910688,0.637,1.465666402
BOL,Bolivia (Plurinational State of),LAC,Medium,118.0,0.692,63.6304,14.94697094,9.827750206,8111.190194,0.964,0.418,0.549,20.66473988,0.647,1.773319863
BRA,Brazil,LAC,High,87.0,0.754,72.7504,15.59906006,8.128813955,14369.88848,0.994,0.39,0.576,23.60742706,0.676,2.198836949
BRB,Barbados,LAC,High,70.0,0.79,77.5714,15.71338458,9.852700596,12306.341,1.034,0.268,0.657,16.83544304,,3.781470204
BRN,Brunei Darussalam,EAP,Very High,51.0,0.829,74.6424,13.95178032,9.18,64489.53954,0.984,0.259,,,0.358,23.22054316
BTN,Bhutan,SA,Medium,127.0,0.666,71.815,13.22500478,5.170262283,9437.541512,0.937,0.415,0.471,29.27927928,0.553,2.495308499
BWA,Botswana,SSA,Medium,117.0,0.693,61.1409,12.26513765,10.34,16198.31841,0.981,0.468,,,0.633,2.772080776
CAF,Central African Republic,SSA,Low,188.0,0.404,53.8947,8.040171714,4.334,966.0586107,0.81,0.672,0.24,40.59405941,0.401,0.038906639
CAN,Canada,,Very High,15.0,0.936,82.6565,16.39625931,13.83442722,46807.98619,0.988,0.069,0.86,8.11965812,0.687,14.19693746
CHE,Switzerland,,Very High,1.0,0.962,83.9872,16.50029945,13.85966015,66933.00454,0.967,0.018,0.894,7.068607069,0.796,3.731913422
CHL,Chile,LAC,Very High,42.0,0.855,78.9435,16.73130035,10.9349663,24563.24486,0.967,0.187,0.722,15.55555556,0.775,4.24621503
CHN,China,EAP,High,79.0,0.768,78.2107,14.2361149,7.600118446,17504.39969,0.984,0.192,0.651,15.234375,0.648,7.411735759
CIV,Côte d'Ivoire,SSA,Medium,159.0,0.55,58.5983,10.67558002,5.199138977,5217.448516,0.887,0.613,0.358,34.90909091,0.54,0.381780097
CMR,Cameroon,SSA,Medium,151.0,0.576,60.3334,13.10859922,6.15131,3620.932408,0.885,0.565,0.393,31.77083333,0.569,0.259524431
COD,Congo (Democratic Republic of the),SSA,Low,179.0,0.479,59.193,9.817864451,7.018696516,1076.098781,0.885,0.601,0.341,28.81002088,0.473,0.027660353
COG,Congo,SSA,Medium,153.0,0.571,63.5187,12.33081527,6.166,2889.283521,0.934,0.564,0.432,24.34325744,0.564,0.564833429
COL,Colombia,LAC,High,88.0,0.752,72.8296,14.44274998,8.862859726,14384.35666,0.984,0.424,0.589,21.67553191,0.711,1.751176049
COM,Comoros,SSA,Medium,156.0,0.558,63.4174,11.92432393,5.078649,3142.064119,0.891,,0.31,44.44444444,,0.29721677
CPV,Cabo Verde,SSA,Medium,128.0,0.662,74.0518,12.55461444,6.287719287,6230.200199,0.981,0.349,,,,0.98910586
CRI,Costa Rica,LAC,Very High,58.0,0.809,77.0232,16.54577065,8.804059982,19974.27358,0.996,0.256,0.664,17.92336218,0.746,1.552260862
CUB,Cuba,LAC,High,83.0,0.764,73.6829,14.44305992,12.49773438,7878.847482,0.961,0.303,,,0.721,1.779198659
CYP,Cyprus,,Very High,29.0,0.896,81.2033,15.64826965,12.44017029,38188.42152,0.972,0.123,0.819,8.59375,0.708,5.380504059
CZE,Czechia,,Very High,32.0,0.889,77.7283,16.21968079,12.86931038,38745.21386,0.989,0.12,0.85,4.386951631,0.748,8.215039321
DEU,Germany,,Very High,9.0,0.942,80.6301,17.01013947,14.09096691,54534.21682,0.978,0.073,0.883,6.263269639,0.804,7.690141865
DJI,Djibouti,AS,Low,171.0,0.509,62.3049,7.43298,4.1,5024.993944,,,,,0.47,0.355728745
DMA,Dominica,LAC,High,102.0,0.72,72.814,13.3191862,8.142186,11487.62422,,,,,,1.934403912
DNK,Denmark,,Very High,6.0,0.948,81.3753,18.71479988,12.96049023,60364.78595,0.98,0.013,0.898,5.274261603,0.803,4.522442415
DOM,Dominican Republic,LAC,High,80.0,0.767,72.6146,14.46655802,9.306864107,17989.60037,1.014,0.429,0.618,19.42633638,0.719,2.559875589
DZA,Algeria,AS,High,91.0,0.745,76.3767,14.62689602,8.069284397,10800.22546,0.88,0.499,0.598,19.73154362,0.687,3.534590875
ECU,Ecuador,LAC,High,95.0,0.74,73.67,14.62423038,8.817119598,10311.63273,0.98,0.362,0.604,18.37837838,0.704,1.753199871
EGY,Egypt,AS,High,97.0,0.731,70.2207,13.78649972,9.573026174,11731.69056,0.882,0.443,0.519,29.00136799,0.692,2.085874268
ERI,Eritrea,SSA,Low,176.0,0.492,66.5358,8.064524628,4.8872352,1728.742667,,,,,0.483,0.203678582
ESP,Spain,,Very High,27.0,0.905,83.01,17.91690063,10.60540009,38353.60164,0.986,0.057,0.788,12.9281768,0.819,4.468313378
EST,Estonia,,Very High,31.0,0.89,77.1436,15.92895985,13.54843044,38048.26372,1.021,0.1,0.829,6.853932584,0.684,7.879475476
ETH,Ethiopia,SSA,Low,175.0,0.498,64.9748,9.651071421,3.201520681,2361.069604,0.921,0.52,0.363,27.10843373,0.496,0.127560389
FIN,Finland,,Very High,11.0,0.94,82.0381,19.05192947,12.87362003,49452.16672,0.989,0.033,0.89,5.319148936,0.731,7.090703013
FJI,Fiji,EAP,High,99.0,0.73,67.114,14.73679,10.92154799,9980.110866,0.931,0.318,,,,1.554361952
FRA,France,,Very High,28.0,0.903,82.4988,15.81206989,11.61005974,45937.05273,0.99,0.083,0.825,8.637873754,0.803,4.23807293
FSM,Micronesia (Federated States of),EAP,Medium,134.0,0.628,70.71,11.54947988,7.804956,3696.173945,,,,,,1.282352225
GAB,Gabon,SSA,High,112.0,0.706,65.821,12.97731,9.436,13366.93455,0.908,0.541,0.554,21.52974504,0.666,1.931138222
GBR,United Kingdom,,Very High,18.0,0.929,80.7422,17.30971909,13.4061203,45224.76564,0.987,0.098,0.85,8.503767492,0.819,4.854886819
GEO,Georgia,ECA,Very High,63.0,0.802,71.694,15.56851959,12.82221985,14664.16825,1.007,0.28,0.706,11.97007481,0.749,2.498792354
GHA,Ghana,SSA,Medium,133.0,0.632,63.7954,12.04778004,8.329886695,5744.504017,0.946,0.529,0.458,27.53164557,0.618,0.514959318
GIN,Guinea,SSA,Low,182.0,0.465,58.8922,9.805297465,2.202125952,2480.887182,0.85,0.621,0.299,35.69892473,0.454,0.258436989
GMB,Gambia,SSA,Low,174.0,0.5,62.083,9.418626299,4.637487411,2172.207664,0.924,0.611,0.348,30.4,0.49,0.206859196
GNB,Guinea-Bissau,SSA,Low,177.0,0.483,59.6523,10.61306278,3.583719,1908.24159,0.867,0.627,0.306,36.64596273,,0.145716389
GNQ,Equatorial Guinea,SSA,Medium,145.0,0.596,60.5943,9.73494,5.910863,12073.95993,,,,,0.52,7.316756772
GRC,Greece,,Very High,33.0,0.887,80.1106,20.02878952,11.40853024,29002.48545,0.969,0.119,0.791,10.82299887,0.792,5.01149663
GRD,Grenada,LAC,High,68.0,0.795,74.9362,18.66202035,9.032104,13483.5774,,,,,,2.620175431
GTM,Guatemala,LAC,Medium,135.0,0.627,69.2368,10.56245041,5.681300163,8723.285317,0.917,0.481,0.46,26.63476874,0.601,1.05706389
GUY,Guyana,LAC,High,108.0,0.714,65.6734,12.50272216,8.617477,22464.65734,0.978,0.454,0.591,17.22689076,,2.813164292
HKG,"Hong Kong, China (SAR)",,Very High,4.0,0.952,85.4734,17.27816963,12.22620964,62606.8454,0.976,,0.828,13.02521008,,4.16685063
HND,Honduras,LAC,Medium,137.0,0.621,70.1229,10.13281417,7.088479996,5297.955301,0.96,0.431,0.479,22.86634461,0.599,0.975263329
HRV,Croatia,,Very High,40.0,0.858,77.5804,15.11209965,12.19108434,30132.28814,0.995,0.093,0.797,7.10955711,0.764,4.136637154
HTI,Haiti,LAC,Low,163.0,0.535,63.1924,9.7,5.554,2847.500746,0.898,0.635,0.327,38.87850467,0.528,0.256039713
HUN,Hungary,,Very High,46.0,0.846,74.5301,15.0336281,12.24958992,32789.01063,0.987,0.221,0.792,6.382978723,0.755,4.99728219
