country_name,country_code,region_x,income_group,year,birth_rate,death_rate,electricity_kwh_per_capita,gdp_usd,gdp_per_capita_usd,internet_pct,infant_mortality,life_expectancy,population_density,unemployment_pct,iso3,country,region_y,hdi_2021
Afghanistan,AFG,South Asia,Low income,2018,,,,19363000000.0,520.897,,47.9,,56.9378,1.542,AFG,Afghanistan,SA,0.478
Albania,ALB,Europe & Central Asia,Upper middle income,2018,,,,15058900000.0,5253.63,,7.8,,104.612,13.898,ALB,Albania,ECA,0.796
Algeria,DZA,Middle East & North Africa,Upper middle income,2018,,,,181000000000.0,4278.85,59.5797,20.1,,17.7301,12.145,DZA,Algeria,AS,0.745
Andorra,AND,Europe & Central Asia,High income: nonOECD,2018,,,,3236540000.0,42029.8,,2.7,,163.843,,AND,Andorra,,0.858
Angola,AGO,Sub-Saharan Africa,Upper middle income,2018,,,,106000000000.0,3432.39,,51.6,,24.7131,7.253,AGO,Angola,SSA,0.586
Antigua and Barbuda,ATG,Latin America & Caribbean,High income: nonOECD,2018,,,,1623800000.0,16864.4,,5.0,,218.832,,ATG,Antigua and Barbuda,LAC,0.788
Argentina,ARG,Latin America & Caribbean,High income: nonOECD,2018,,,,518000000000.0,11652.6,,8.8,,16.2585,9.483,ARG,Argentina,LAC,0.842
Armenia,ARM,Europe & Central Asia,Lower middle income,2018,,,,12433100000.0,4212.07,,11.0,,103.68,17.712,ARM,Armenia,ECA,0.759
Australia,AUS,East Asia & Pacific,High income: OECD,2018,,,,1430000000000.0,57305.3,,3.1,,3.24913,5.387,AUS,Australia,,0.951
Austria,AUT,Europe & Central Asia,High income: OECD,2018,,,,456000000000.0,51512.9,87.7105,2.9,,107.207,4.786,AUT,Austria,,0.916
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,2018,,,,46939500000.0,4721.18,79.8,19.2,,120.265,5.22,AZE,Azerbaijan,ECA,0.745
"Bahamas, The",BHS,Latin America & Caribbean,High income: nonOECD,2018,,,,,,,8.3,,38.5255,11.85,BHS,Bahamas,LAC,0.812
